state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BIRSING JARUA,9,NOTA,None of the Above,57,119,178,271,418,544,631,736,820,1005,1194,1382,1554,1596,1652,1694,1739,1786,1859,1925,1985,2037,2091,2150,2197,2207,2212,2214,,,,,,2214,11,2225,0.81,274263
Assam,BISWANATH,70,ANANTA GOGOI,Aam Aadmi Party,81,161,201,271,335,403,508,617,703,771,831,923,1099,1205,1274,1377,1460,,,,,,,,,,,,,,,,,1460,11,1471,0.91,160934
Assam,BISWANATH,70,JAYANTA BORAH,Indian National Congress,3075,5595,10513,15691,18052,19660,21756,24314,27529,35037,41855,46078,49126,52142,54136,56042,58760,,,,,,,,,,,,,,,,,58760,332,59092,36.72,160934
Assam,BISWANATH,70,PALLAB LOCHAN DAS,Bharatiya Janata Party,4516,9934,13299,17977,23627,28976,34591,39455,44602,47814,52474,57257,63833,69689,75046,80253,84386,,,,,,,,,,,,,,,,,84386,476,84862,52.73,160934
Assam,BISWANATH,70,SAHIDUL ALAM,Gana Suraksha Party,74,139,176,213,290,353,479,604,672,727,767,811,854,896,981,1081,1153,,,,,,,,,,,,,,,,,1153,0,1153,0.72,160934
Assam,BISWANATH,70,TEHARU GOUR,Jharkhand Mukti Morcha,305,764,830,1122,1836,3594,4903,6312,6972,7125,7195,7311,7375,7699,8843,10936,12498,,,,,,,,,,,,,,,,,12498,3,12501,7.77,160934
Assam,BISWANATH,70,NOTA,None of the Above,101,189,241,319,419,524,629,781,870,935,1014,1117,1286,1418,1534,1705,1832,,,,,,,,,,,,,,,,,1832,23,1855,1.15,160934
Assam,BOKAJAN,108,RATON ENGTI,Indian National Congress,3234,7169,11336,14758,18306,22294,25776,28818,31806,35141,38067,40595,43877,47161,50996,51898,52191,,,,,,,,,,,,,,,,,52191,194,52385,40.86,128219
Assam,BOKAJAN,108,RENUKA TIMUNGPI,Aam Aadmi Party,56,151,224,312,404,550,658,708,769,893,1008,1095,1217,1329,1447,1485,1493,,,,,,,,,,,,,,,,,1493,7,1500,1.17,128219
Assam,BOKAJAN,108,SURJYA RONGPHAR,Bharatiya Janata Party,3360,7388,10671,14881,20306,24669,29382,33086,37834,43339,49145,55553,60534,64680,67997,69248,69475,,,,,,,,,,,,,,,,,69475,376,69851,54.48,128219
